Seconds Since Midnight,Heartbeat,Time HH:MM:SS
47079,110,13:04:39
47080,110,13:04:40
47081,111,13:04:41
47082,113,13:04:42
47083,112,13:04:43
47084,111,13:04:44
47085,112,13:04:45
47086,114,13:04:46
47087,114,13:04:47
47088,113,13:04:48
47089,111,13:04:49
47090,111,13:04:50
47091,112,13:04:51
47092,114,13:04:52
47093,117,13:04:53
47094,120,13:04:54
47095,123,13:04:55
47096,125,13:04:56
47097,126,13:04:57
47098,126,13:04:58
47099,125,13:04:59
47100,124,13:05:00
47101,122,13:05:01
47102,122,13:05:02
47103,122,13:05:03
47104,122,13:05:04
47105,122,13:05:05
47106,121,13:05:06
47107,115,13:05:07
47108,112,13:05:08
47109,112,13:05:09
47110,110,13:05:10
47111,107,13:05:11
47112,105,13:05:12
47113,106,13:05:13
47114,110,13:05:14
47115,115,13:05:15
47116,120,13:05:16
47117,123,13:05:17
47118,126,13:05:18
47119,126,13:05:19
47120,126,13:05:20
47121,125,13:05:21
47122,106,13:05:22
47123,101,13:05:23
47124,102,13:05:24
47125,106,13:05:25
47126,109,13:05:26
47127,112,13:05:27
47128,113,13:05:28
47129,111,13:05:29
47130,110,13:05:30
47131,109,13:05:31
47132,110,13:05:32
47133,110,13:05:33
47134,110,13:05:34
47135,110,13:05:35
47136,110,13:05:36
47137,109,13:05:37
47138,107,13:05:38
47139,103,13:05:39
47140,101,13:05:40
47141,101,13:05:41
47142,100,13:05:42
47143,104,13:05:43
47144,107,13:05:44
47145,109,13:05:45
47146,111,13:05:46
47147,112,13:05:47
47148,113,13:05:48
47149,114,13:05:49
47150,116,13:05:50
47151,118,13:05:51
47152,119,13:05:52
47153,119,13:05:53
47154,116,13:05:54
47155,114,13:05:55
47156,116,13:05:56
47157,117,13:05:57
47158,119,13:05:58
47159,119,13:05:59
47160,119,13:06:00
47161,118,13:06:01
47162,113,13:06:02
47163,109,13:06:03
47164,109,13:06:04
47165,108,13:06:05
47166,106,13:06:06
47167,103,13:06:07
47168,99,13:06:08
47169,97,13:06:09
47170,97,13:06:10
47171,99,13:06:11
47172,100,13:06:12
47173,100,13:06:13
47174,100,13:06:14
47175,98,13:06:15
47176,96,13:06:16
47177,96,13:06:17
47178,96,13:06:18
47179,97,13:06:19
47180,98,13:06:20
47181,99,13:06:21
47182,98,13:06:22
47183,96,13:06:23
47184,97,13:06:24
47185,98,13:06:25
47186,99,13:06:26
47187,100,13:06:27
47188,100,13:06:28
47189,99,13:06:29
47190,99,13:06:30
47191,95,13:06:31
47192,95,13:06:32
47193,95,13:06:33
47194,95,13:06:34
47195,95,13:06:35
47196,94,13:06:36
47197,93,13:06:37
47198,92,13:06:38
47199,92,13:06:39
47200,92,13:06:40
47201,92,13:06:41
47202,93,13:06:42
47203,93,13:06:43
47204,95,13:06:44
47205,96,13:06:45
47206,95,13:06:46
47207,95,13:06:47
47208,95,13:06:48
47209,95,13:06:49
47210,97,13:06:50
47211,99,13:06:51
47212,102,13:06:52
47213,103,13:06:53
47214,101,13:06:54
47215,101,13:06:55
47216,95,13:06:56
47217,93,13:06:57
47218,91,13:06:58
47219,91,13:06:59
47220,92,13:07:00
47221,101,13:07:01
47222,105,13:07:02
47223,105,13:07:03
47224,103,13:07:04
47225,102,13:07:05
47226,97,13:07:06
47227,96,13:07:07
47228,96,13:07:08
47229,100,13:07:09
47230,103,13:07:10
47231,104,13:07:11
47232,106,13:07:12
47233,107,13:07:13
47234,108,13:07:14
47235,105,13:07:15
47236,103,13:07:16
47237,100,13:07:17
47238,100,13:07:18
47239,100,13:07:19
47240,100,13:07:20
47241,98,13:07:21
47242,100,13:07:22
47243,102,13:07:23
47244,106,13:07:24
47245,109,13:07:25
47246,109,13:07:26
47247,108,13:07:27
47248,107,13:07:28
47249,104,13:07:29
47250,103,13:07:30
47251,103,13:07:31
47252,103,13:07:32
47253,103,13:07:33
47254,103,13:07:34
47255,101,13:07:35
47256,100,13:07:36
47257,99,13:07:37
47258,97,13:07:38
47259,97,13:07:39
47260,96,13:07:40
47261,98,13:07:41
47262,98,13:07:42
47263,97,13:07:43
47264,96,13:07:44
47265,97,13:07:45
47266,98,13:07:46
47267,98,13:07:47
47268,99,13:07:48
47269,99,13:07:49
47270,96,13:07:50
47271,101,13:07:51
47272,105,13:07:52
47273,107,13:07:53
47274,109,13:07:54
47275,111,13:07:55
47276,116,13:07:56
47277,121,13:07:57
47278,125,13:07:58
47279,127,13:07:59
47280,128,13:08:00
47281,128,13:08:01
47282,127,13:08:02
47283,120,13:08:03
47284,109,13:08:04
47285,100,13:08:05
47286,98,13:08:06
47287,97,13:08:07
47288,97,13:08:08
47289,97,13:08:09
47290,110,13:08:10
47291,110,13:08:11
47292,115,13:08:12
47293,117,13:08:13
47294,119,13:08:14
47295,120,13:08:15
47296,120,13:08:16
47297,119,13:08:17
47298,118,13:08:18
47299,118,13:08:19
47300,118,13:08:20
47301,118,13:08:21
47302,118,13:08:22
47303,118,13:08:23
47304,118,13:08:24
47305,118,13:08:25
47306,118,13:08:26
47307,118,13:08:27
47308,118,13:08:28
47309,114,13:08:29
47310,114,13:08:30
47311,116,13:08:31
47312,117,13:08:32
47313,119,13:08:33
47314,118,13:08:34
47315,111,13:08:35
47316,104,13:08:36
47317,96,13:08:37
47318,94,13:08:38
47319,93,13:08:39
47320,98,13:08:40
47321,102,13:08:41
47322,103,13:08:42
47323,103,13:08:43
47324,99,13:08:44
47325,99,13:08:45
47326,100,13:08:46
47327,100,13:08:47
47328,100,13:08:48
47329,98,13:08:49
47330,98,13:08:50
47331,98,13:08:51
47332,97,13:08:52
47333,89,13:08:53
47334,89,13:08:54
47335,86,13:08:55
47336,86,13:08:56
47337,93,13:08:57
47338,95,13:08:58
47339,100,13:08:59
47340,100,13:09:00
47341,103,13:09:01
47342,96,13:09:02
47343,89,13:09:03
47344,86,13:09:04
47345,86,13:09:05
47346,86,13:09:06
47347,97,13:09:07
47348,103,13:09:08
47349,107,13:09:09
47350,109,13:09:10
47351,109,13:09:11
47352,109,13:09:12
47353,107,13:09:13
47354,107,13:09:14
47355,98,13:09:15
47356,97,13:09:16
47357,96,13:09:17
47358,94,13:09:18
47359,92,13:09:19
47360,90,13:09:20
47361,90,13:09:21
47362,94,13:09:22
47363,97,13:09:23
47364,99,13:09:24
47365,99,13:09:25
47366,101,13:09:26
47367,101,13:09:27
47368,100,13:09:28
47369,98,13:09:29
47370,95,13:09:30
47371,95,13:09:31
47372,95,13:09:32
47373,92,13:09:33
47374,91,13:09:34
47375,90,13:09:35
47376,90,13:09:36
47377,91,13:09:37
47378,90,13:09:38
47379,89,13:09:39
47380,90,13:09:40
47381,91,13:09:41
47382,93,13:09:42
47383,93,13:09:43
47384,95,13:09:44
47385,96,13:09:45
47386,97,13:09:46
47387,98,13:09:47
47388,98,13:09:48
47389,102,13:09:49
47390,102,13:09:50
47391,110,13:09:51
47392,113,13:09:52
47393,115,13:09:53
47394,115,13:09:54
47395,112,13:09:55
47396,110,13:09:56
47397,105,13:09:57
47398,101,13:09:58
47399,99,13:09:59
47400,97,13:10:00
47401,97,13:10:01
47402,96,13:10:02
47403,96,13:10:03
47404,92,13:10:04
47405,90,13:10:05
47406,88,13:10:06
47407,88,13:10:07
47408,89,13:10:08
47409,92,13:10:09
47410,94,13:10:10
47411,96,13:10:11
47412,96,13:10:12
47413,95,13:10:13
47414,95,13:10:14
47415,96,13:10:15
47416,96,13:10:16
47417,96,13:10:17
47418,94,13:10:18
47419,94,13:10:19
47420,92,13:10:20
47421,91,13:10:21
47422,90,13:10:22
47423,89,13:10:23
47424,89,13:10:24
47425,90,13:10:25
47426,91,13:10:26
47427,91,13:10:27
47428,92,13:10:28
47429,93,13:10:29
47430,94,13:10:30
47431,96,13:10:31
47432,97,13:10:32
47433,98,13:10:33
47434,100,13:10:34
47435,102,13:10:35
47436,102,13:10:36
47437,103,13:10:37
47438,103,13:10:38
47439,101,13:10:39
47440,101,13:10:40
47441,102,13:10:41
47442,102,13:10:42
47443,101,13:10:43
47444,101,13:10:44
47445,101,13:10:45
47446,102,13:10:46
47447,103,13:10:47
47448,103,13:10:48
47449,101,13:10:49
47450,99,13:10:50
47451,99,13:10:51
47452,96,13:10:52
47453,96,13:10:53
47454,98,13:10:54
47455,100,13:10:55
47456,103,13:10:56
47457,102,13:10:57
47458,103,13:10:58
47459,103,13:10:59
47460,107,13:11:00
47461,108,13:11:01
47462,108,13:11:02
47463,107,13:11:03
47464,103,13:11:04
47465,102,13:11:05
47466,103,13:11:06
47467,104,13:11:07
47468,106,13:11:08
47469,107,13:11:09
47470,106,13:11:10
47471,104,13:11:11
47472,102,13:11:12
47473,102,13:11:13
47474,105,13:11:14
47475,105,13:11:15
47476,104,13:11:16
47477,101,13:11:17
47478,99,13:11:18
47479,97,13:11:19
47480,96,13:11:20
47481,100,13:11:21
47482,101,13:11:22
47483,103,13:11:23
47484,103,13:11:24
47485,103,13:11:25
47486,102,13:11:26
47487,102,13:11:27
47488,101,13:11:28
47489,101,13:11:29
47490,100,13:11:30
47491,99,13:11:31
47492,96,13:11:32
47493,95,13:11:33
47494,93,13:11:34
47495,94,13:11:35
47496,94,13:11:36
47497,94,13:11:37
47498,93,13:11:38
47499,92,13:11:39
47500,92,13:11:40
47501,92,13:11:41
47502,91,13:11:42
47503,92,13:11:43
47504,94,13:11:44
47505,96,13:11:45
47506,98,13:11:46
47507,97,13:11:47
47508,97,13:11:48
47509,97,13:11:49
47510,98,13:11:50
47511,100,13:11:51
47512,102,13:11:52
47513,103,13:11:53
47514,102,13:11:54
47515,99,13:11:55
47516,97,13:11:56
47517,95,13:11:57
47518,95,13:11:58
47519,95,13:11:59
47520,95,13:12:00
47521,94,13:12:01
47522,96,13:12:02
47523,97,13:12:03
47524,100,13:12:04
47525,101,13:12:05
47526,102,13:12:06
47527,102,13:12:07
47528,101,13:12:08
47529,102,13:12:09
47530,103,13:12:10
47531,104,13:12:11
47532,104,13:12:12
47533,105,13:12:13
47534,105,13:12:14
47535,105,13:12:15
47536,104,13:12:16
47537,104,13:12:17
47538,102,13:12:18
47539,102,13:12:19
47540,104,13:12:20
47541,104,13:12:21
47542,105,13:12:22
47543,107,13:12:23
47544,107,13:12:24
47545,105,13:12:25
47546,105,13:12:26
47547,104,13:12:27
47548,105,13:12:28
47549,107,13:12:29
47550,107,13:12:30
47551,108,13:12:31
47552,108,13:12:32
47553,108,13:12:33
47554,98,13:12:34
47555,95,13:12:35
47556,94,13:12:36
47557,95,13:12:37
47558,97,13:12:38
47559,100,13:12:39
47560,101,13:12:40
47561,103,13:12:41
47562,103,13:12:42
47563,101,13:12:43
47564,99,13:12:44
47565,97,13:12:45
47566,96,13:12:46
47567,96,13:12:47
47568,101,13:12:48
47569,105,13:12:49
47570,107,13:12:50
47571,107,13:12:51
47572,106,13:12:52
47573,103,13:12:53
47574,101,13:12:54
47575,102,13:12:55
47576,102,13:12:56
47577,103,13:12:57
47578,105,13:12:58
47579,106,13:12:59
47580,106,13:13:00
47581,105,13:13:01
47582,103,13:13:02
47583,100,13:13:03
47584,98,13:13:04
47585,97,13:13:05
47586,97,13:13:06
47587,99,13:13:07
47588,99,13:13:08
47589,104,13:13:09
47590,105,13:13:10
47591,104,13:13:11
47592,102,13:13:12
47593,102,13:13:13
47594,103,13:13:14
47595,102,13:13:15
47596,101,13:13:16
47597,98,13:13:17
47598,98,13:13:18
47599,100,13:13:19
47600,100,13:13:20
47601,101,13:13:21
47602,103,13:13:22
47603,102,13:13:23
47604,98,13:13:24
47605,97,13:13:25
47606,94,13:13:26
47607,94,13:13:27
47608,93,13:13:28
47609,94,13:13:29
47610,95,13:13:30
47611,96,13:13:31
47612,98,13:13:32
47613,100,13:13:33
47614,102,13:13:34
47615,101,13:13:35
47616,97,13:13:36
47617,94,13:13:37
47618,96,13:13:38
47619,96,13:13:39
47620,97,13:13:40
47621,94,13:13:41
47622,94,13:13:42
47623,94,13:13:43
47624,94,13:13:44
47625,95,13:13:45
47626,95,13:13:46
47627,92,13:13:47
47628,91,13:13:48
47629,90,13:13:49
47630,90,13:13:50
47631,90,13:13:51
47632,90,13:13:52
47633,90,13:13:53
47634,89,13:13:54
47635,88,13:13:55
47636,88,13:13:56
47637,87,13:13:57
47638,87,13:13:58
47639,90,13:13:59
47640,92,13:14:00
47641,94,13:14:01
47642,94,13:14:02
47643,97,13:14:03
47644,101,13:14:04
47645,104,13:14:05
47646,109,13:14:06
47647,112,13:14:07
47648,112,13:14:08
47649,110,13:14:09
47650,110,13:14:10
47651,105,13:14:11
47652,103,13:14:12
47653,99,13:14:13
47654,101,13:14:14
47655,105,13:14:15
47656,107,13:14:16
47657,107,13:14:17
47658,102,13:14:18
47659,96,13:14:19
47660,92,13:14:20
47661,89,13:14:21
47662,89,13:14:22
47663,90,13:14:23
47664,92,13:14:24
47665,92,13:14:25
47666,88,13:14:26
47667,87,13:14:27
47668,90,13:14:28
47669,92,13:14:29
47670,95,13:14:30
47671,99,13:14:31
47672,103,13:14:32
47673,107,13:14:33
47674,109,13:14:34
47675,110,13:14:35
47676,111,13:14:36
47677,111,13:14:37
47678,112,13:14:38
47679,113,13:14:39
47680,111,13:14:40
47681,109,13:14:41
47682,108,13:14:42
47683,107,13:14:43
47684,107,13:14:44
47685,106,13:14:45
47686,106,13:14:46
47687,92,13:14:47
47688,89,13:14:48
47689,87,13:14:49
47690,86,13:14:50
47691,87,13:14:51
47692,89,13:14:52
47693,90,13:14:53
47694,94,13:14:54
47695,95,13:14:55
47696,93,13:14:56
47697,91,13:14:57
47698,88,13:14:58
47699,88,13:14:59
47700,88,13:15:00
47701,90,13:15:01
47702,94,13:15:02
47703,98,13:15:03
47704,100,13:15:04
47705,99,13:15:05
47706,99,13:15:06
47707,97,13:15:07
47708,95,13:15:08
47709,95,13:15:09
47710,96,13:15:10
47711,100,13:15:11
47712,103,13:15:12
47713,104,13:15:13
47714,104,13:15:14
47715,104,13:15:15
47716,102,13:15:16
47717,93,13:15:17
47718,92,13:15:18
47719,93,13:15:19
47720,95,13:15:20
47721,96,13:15:21
47722,96,13:15:22
47723,96,13:15:23
47724,92,13:15:24
47725,93,13:15:25
47726,95,13:15:26
47727,98,13:15:27
47728,100,13:15:28
47729,101,13:15:29
47730,102,13:15:30
47731,103,13:15:31
47732,103,13:15:32
47733,101,13:15:33
47734,99,13:15:34
47735,99,13:15:35
47736,94,13:15:36
47737,94,13:15:37
47738,93,13:15:38
47739,92,13:15:39
47740,91,13:15:40
47741,90,13:15:41
47742,90,13:15:42
47743,91,13:15:43
47744,91,13:15:44
47745,91,13:15:45
47746,90,13:15:46
47747,89,13:15:47
47748,89,13:15:48
47749,89,13:15:49
47750,89,13:15:50
47751,90,13:15:51
47752,90,13:15:52
47753,90,13:15:53
47754,91,13:15:54
47755,92,13:15:55
47756,92,13:15:56
47757,93,13:15:57
47758,95,13:15:58
47759,97,13:15:59
47760,100,13:16:00
47761,102,13:16:01
47762,102,13:16:02
47763,103,13:16:03
47764,106,13:16:04
47765,107,13:16:05
47766,106,13:16:06
