Seconds Since Midnight,Heartbeat,Time HH:MM:SS
33300,67,9:15:00
33301,66,9:15:01
33302,66,9:15:02
33303,65,9:15:03
33304,66,9:15:04
33305,66,9:15:05
33306,67,9:15:06
33307,67,9:15:07
33308,69,9:15:08
33309,71,9:15:09
33310,71,9:15:10
33311,71,9:15:11
33312,71,9:15:12
33313,72,9:15:13
33314,72,9:15:14
33315,73,9:15:15
33316,73,9:15:16
33317,75,9:15:17
33318,75,9:15:18
33319,77,9:15:19
33320,81,9:15:20
33321,81,9:15:21
33322,81,9:15:22
33323,82,9:15:23
33324,82,9:15:24
33325,82,9:15:25
33326,82,9:15:26
33327,86,9:15:27
33328,86,9:15:28
33329,86,9:15:29
33330,85,9:15:30
33331,85,9:15:31
33332,85,9:15:32
33333,85,9:15:33
33334,86,9:15:34
33335,86,9:15:35
33336,89,9:15:36
33337,89,9:15:37
33338,89,9:15:38
33339,102,9:15:39
33340,102,9:15:40
33341,102,9:15:41
33342,111,9:15:42
33343,111,9:15:43
33344,111,9:15:44
33345,112,9:15:45
33346,112,9:15:46
33347,111,9:15:47
33348,99,9:15:48
33349,99,9:15:49
33350,99,9:15:50
33351,77,9:15:51
33352,77,9:15:52
33353,68,9:15:53
33354,68,9:15:54
33355,68,9:15:55
33356,66,9:15:56
33357,66,9:15:57
33358,66,9:15:58
33359,66,9:15:59
33360,68,9:16:00
33361,68,9:16:01
33362,68,9:16:02
33363,69,9:16:03
33364,69,9:16:04
33365,71,9:16:05
33366,71,9:16:06
33367,81,9:16:07
33368,81,9:16:08
33369,84,9:16:09
33370,84,9:16:10
33371,84,9:16:11
33372,83,9:16:12
33373,83,9:16:13
33374,85,9:16:14
33375,85,9:16:15
33376,92,9:16:16
33377,92,9:16:17
33378,92,9:16:18
33379,96,9:16:19
33380,99,9:16:20
33381,99,9:16:21
33382,99,9:16:22
33383,99,9:16:23
33384,89,9:16:24
33385,89,9:16:25
33386,89,9:16:26
33387,81,9:16:27
33388,81,9:16:28
33389,82,9:16:29
33390,86,9:16:30
33391,88,9:16:31
33392,88,9:16:32
33393,88,9:16:33
33394,89,9:16:34
33395,80,9:16:35
33396,80,9:16:36
33397,80,9:16:37
33398,78,9:16:38
33399,78,9:16:39
33400,76,9:16:40
33401,76,9:16:41
33402,78,9:16:42
33403,78,9:16:43
33404,82,9:16:44
33405,82,9:16:45
33406,85,9:16:46
33407,85,9:16:47
33408,90,9:16:48
33409,90,9:16:49
33410,86,9:16:50
33411,86,9:16:51
33412,85,9:16:52
33413,85,9:16:53
33414,83,9:16:54
33415,83,9:16:55
33416,84,9:16:56
33417,84,9:16:57
33418,84,9:16:58
33419,83,9:16:59
33420,83,9:17:00
33421,84,9:17:01
33422,84,9:17:02
33423,86,9:17:03
33424,86,9:17:04
33425,85,9:17:05
33426,85,9:17:06
33427,87,9:17:07
33428,87,9:17:08
33429,89,9:17:09
33430,89,9:17:10
33431,87,9:17:11
33432,87,9:17:12
33433,88,9:17:13
33434,88,9:17:14
33435,90,9:17:15
33436,90,9:17:16
33437,90,9:17:17
33438,88,9:17:18
33439,88,9:17:19
33440,85,9:17:20
33441,85,9:17:21
33442,85,9:17:22
33443,84,9:17:23
33444,82,9:17:24
33445,82,9:17:25
33446,82,9:17:26
33447,82,9:17:27
33448,83,9:17:28
33449,83,9:17:29
33450,85,9:17:30
33451,85,9:17:31
33452,85,9:17:32
33453,89,9:17:33
33454,89,9:17:34
33455,90,9:17:35
33456,90,9:17:36
33457,90,9:17:37
33458,89,9:17:38
33459,89,9:17:39
33460,89,9:17:40
33461,89,9:17:41
33462,91,9:17:42
33463,91,9:17:43
33464,92,9:17:44
33465,92,9:17:45
33466,92,9:17:46
33467,93,9:17:47
33468,93,9:17:48
33469,89,9:17:49
33470,87,9:17:50
33471,87,9:17:51
33472,88,9:17:52
33473,88,9:17:53
33474,88,9:17:54
33475,88,9:17:55
33476,89,9:17:56
33477,90,9:17:57
33478,90,9:17:58
33479,88,9:17:59
33480,85,9:18:00
33481,85,9:18:01
33482,85,9:18:02
33483,84,9:18:03
33484,87,9:18:04
33485,87,9:18:05
33486,87,9:18:06
33487,91,9:18:07
33488,92,9:18:08
33489,92,9:18:09
33490,92,9:18:10
33491,91,9:18:11
33492,91,9:18:12
33493,86,9:18:13
33494,86,9:18:14
33495,86,9:18:15
33496,83,9:18:16
33497,85,9:18:17
33498,85,9:18:18
33499,85,9:18:19
33500,90,9:18:20
33501,90,9:18:21
33502,92,9:18:22
33503,90,9:18:23
33504,90,9:18:24
33505,89,9:18:25
33506,89,9:18:26
33507,85,9:18:27
33508,85,9:18:28
33509,85,9:18:29
33510,85,9:18:30
33511,86,9:18:31
33512,86,9:18:32
33513,86,9:18:33
33514,85,9:18:34
33515,85,9:18:35
33516,86,9:18:36
33517,86,9:18:37
33518,86,9:18:38
33519,88,9:18:39
33520,84,9:18:40
33521,84,9:18:41
33522,84,9:18:42
33523,84,9:18:43
33524,86,9:18:44
33525,86,9:18:45
33526,89,9:18:46
33527,96,9:18:47
33528,96,9:18:48
33529,96,9:18:49
33530,96,9:18:50
33531,100,9:18:51
33532,100,9:18:52
33533,103,9:18:53
33534,103,9:18:54
33535,103,9:18:55
33536,105,9:18:56
33537,105,9:18:57
33538,104,9:18:58
33539,104,9:18:59
33540,104,9:19:00
33541,98,9:19:01
33542,93,9:19:02
33543,93,9:19:03
33544,90,9:19:04
33545,90,9:19:05
33546,90,9:19:06
33547,80,9:19:07
33548,80,9:19:08
33549,79,9:19:09
33550,79,9:19:10
33551,83,9:19:11
33552,83,9:19:12
33553,83,9:19:13
33554,83,9:19:14
33555,83,9:19:15
33556,87,9:19:16
33557,87,9:19:17
33558,88,9:19:18
33559,91,9:19:19
33560,91,9:19:20
33561,91,9:19:21
33562,91,9:19:22
33563,91,9:19:23
33564,86,9:19:24
33565,86,9:19:25
33566,86,9:19:26
33567,86,9:19:27
33568,87,9:19:28
33569,87,9:19:29
33570,92,9:19:30
33571,92,9:19:31
33572,94,9:19:32
33573,94,9:19:33
33574,94,9:19:34
33575,94,9:19:35
33576,93,9:19:36
33577,93,9:19:37
33578,91,9:19:38
33579,91,9:19:39
33580,90,9:19:40
33581,90,9:19:41
33582,87,9:19:42
33583,87,9:19:43
33584,87,9:19:44
33585,86,9:19:45
33586,86,9:19:46
33587,82,9:19:47
33588,82,9:19:48
33589,83,9:19:49
33590,83,9:19:50
33591,86,9:19:51
33592,86,9:19:52
33593,92,9:19:53
33594,92,9:19:54
33595,92,9:19:55
33596,92,9:19:56
33597,92,9:19:57
33598,90,9:19:58
33599,90,9:19:59
33600,90,9:20:00
33601,90,9:20:01
33602,83,9:20:02
33603,83,9:20:03
33604,83,9:20:04
33605,83,9:20:05
33606,83,9:20:06
33607,86,9:20:07
33608,86,9:20:08
33609,89,9:20:09
33610,89,9:20:10
33611,89,9:20:11
33612,89,9:20:12
33613,89,9:20:13
33614,85,9:20:14
33615,85,9:20:15
33616,85,9:20:16
33617,79,9:20:17
33618,79,9:20:18
33619,78,9:20:19
33620,78,9:20:20
33621,78,9:20:21
33622,78,9:20:22
33623,78,9:20:23
33624,77,9:20:24
33625,77,9:20:25
33626,76,9:20:26
33627,74,9:20:27
33628,74,9:20:28
33629,74,9:20:29
33630,73,9:20:30
33631,73,9:20:31
33632,75,9:20:32
33633,75,9:20:33
33634,75,9:20:34
33635,74,9:20:35
33636,72,9:20:36
33637,72,9:20:37
33638,72,9:20:38
33639,70,9:20:39
33640,70,9:20:40
33641,68,9:20:41
33642,67,9:20:42
33643,67,9:20:43
33644,66,9:20:44
33645,66,9:20:45
33646,66,9:20:46
33647,66,9:20:47
33648,66,9:20:48
33649,67,9:20:49
33650,67,9:20:50
33651,67,9:20:51
33652,67,9:20:52
33653,74,9:20:53
33654,74,9:20:54
33655,74,9:20:55
33656,74,9:20:56
33657,72,9:20:57
33658,72,9:20:58
33659,74,9:20:59
33660,74,9:21:00
33661,74,9:21:01
33662,76,9:21:02
33663,76,9:21:03
33664,76,9:21:04
33665,76,9:21:05
33666,74,9:21:06
33667,72,9:21:07
33668,72,9:21:08
33669,72,9:21:09
33670,70,9:21:10
33671,70,9:21:11
33672,68,9:21:12
33673,68,9:21:13
33674,68,9:21:14
33675,69,9:21:15
33676,69,9:21:16
33677,68,9:21:17
33678,68,9:21:18
33679,68,9:21:19
33680,69,9:21:20
33681,69,9:21:21
33682,70,9:21:22
33683,71,9:21:23
33684,71,9:21:24
33685,71,9:21:25
33686,74,9:21:26
33687,74,9:21:27
33688,75,9:21:28
33689,75,9:21:29
33690,76,9:21:30
33691,76,9:21:31
33692,77,9:21:32
33693,77,9:21:33
33694,78,9:21:34
33695,77,9:21:35
33696,77,9:21:36
33697,77,9:21:37
33698,74,9:21:38
33699,74,9:21:39
33700,73,9:21:40
33701,73,9:21:41
33702,73,9:21:42
33703,73,9:21:43
33704,71,9:21:44
33705,72,9:21:45
33706,72,9:21:46
33707,71,9:21:47
33708,68,9:21:48
33709,68,9:21:49
33710,67,9:21:50
33711,67,9:21:51
33712,67,9:21:52
33713,68,9:21:53
33714,68,9:21:54
33715,67,9:21:55
33716,67,9:21:56
33717,66,9:21:57
33718,66,9:21:58
33719,66,9:21:59
33720,65,9:22:00
33721,65,9:22:01
33722,65,9:22:02
33723,65,9:22:03
33724,65,9:22:04
33725,68,9:22:05
33726,68,9:22:06
33727,71,9:22:07
33728,71,9:22:08
33729,73,9:22:09
33730,73,9:22:10
33731,75,9:22:11
33732,75,9:22:12
33733,78,9:22:13
33734,81,9:22:14
33735,81,9:22:15
33736,81,9:22:16
33737,82,9:22:17
33738,82,9:22:18
33739,81,9:22:19
33740,79,9:22:20
33741,79,9:22:21
33742,77,9:22:22
33743,77,9:22:23
33744,77,9:22:24
33745,74,9:22:25
33746,75,9:22:26
33747,76,9:22:27
33748,76,9:22:28
33749,76,9:22:29
33750,76,9:22:30
33751,76,9:22:31
33752,76,9:22:32
33753,73,9:22:33
33754,73,9:22:34
33755,72,9:22:35
33756,72,9:22:36
33757,70,9:22:37
33758,70,9:22:38
33759,70,9:22:39
33760,69,9:22:40
33761,69,9:22:41
33762,69,9:22:42
33763,67,9:22:43
33764,67,9:22:44
33765,67,9:22:45
33766,67,9:22:46
33767,67,9:22:47
33768,67,9:22:48
33769,68,9:22:49
33770,68,9:22:50
33771,70,9:22:51
33772,70,9:22:52
33773,70,9:22:53
33774,70,9:22:54
33775,69,9:22:55
33776,68,9:22:56
33777,68,9:22:57
