Seconds Since Midnight,Heartbeat,Time HH:MM:SS
30576,115,8:29:36
30577,115,8:29:37
30578,115,8:29:38
30579,116,8:29:39
30580,116,8:29:40
30581,114,8:29:41
30582,114,8:29:42
30583,113,8:29:43
30584,113,8:29:44
30585,112,8:29:45
30586,112,8:29:46
30587,110,8:29:47
30588,104,8:29:48
30589,104,8:29:49
30590,105,8:29:50
30591,105,8:29:51
30592,105,8:29:52
30593,103,8:29:53
30594,103,8:29:54
30595,103,8:29:55
30596,104,8:29:56
30597,105,8:29:57
30598,105,8:29:58
30599,105,8:29:59
30600,105,8:30:00
30601,105,8:30:01
30602,105,8:30:02
30603,102,8:30:03
30604,102,8:30:04
30605,100,8:30:05
30606,100,8:30:06
30607,100,8:30:07
30608,100,8:30:08
30609,101,8:30:09
30610,101,8:30:10
30611,101,8:30:11
30612,99,8:30:12
30613,99,8:30:13
30614,99,8:30:14
30615,101,8:30:15
30616,102,8:30:16
30617,102,8:30:17
30618,101,8:30:18
30619,100,8:30:19
30620,101,8:30:20
30621,102,8:30:21
30622,101,8:30:22
30623,97,8:30:23
30624,96,8:30:24
30625,95,8:30:25
30626,95,8:30:26
30627,93,8:30:27
30628,92,8:30:28
30629,92,8:30:29
30630,92,8:30:30
30631,94,8:30:31
30632,95,8:30:32
30633,94,8:30:33
30634,94,8:30:34
30635,91,8:30:35
30636,90,8:30:36
30637,88,8:30:37
30638,89,8:30:38
30639,89,8:30:39
30640,90,8:30:40
30641,90,8:30:41
30642,90,8:30:42
30643,88,8:30:43
30644,88,8:30:44
30645,87,8:30:45
30646,87,8:30:46
30647,86,8:30:47
30648,87,8:30:48
30649,87,8:30:49
30650,87,8:30:50
30651,87,8:30:51
30652,88,8:30:52
30653,88,8:30:53
30654,88,8:30:54
30655,88,8:30:55
30656,89,8:30:56
30657,89,8:30:57
30658,89,8:30:58
30659,91,8:30:59
30660,92,8:31:00
30661,93,8:31:01
30662,93,8:31:02
30663,91,8:31:03
30664,88,8:31:04
30665,88,8:31:05
30666,88,8:31:06
30667,88,8:31:07
30668,89,8:31:08
30669,89,8:31:09
30670,91,8:31:10
30671,91,8:31:11
30672,92,8:31:12
30673,91,8:31:13
30674,91,8:31:14
30675,93,8:31:15
30676,93,8:31:16
30677,93,8:31:17
30678,93,8:31:18
30679,94,8:31:19
30680,93,8:31:20
30681,93,8:31:21
30682,94,8:31:22
30683,96,8:31:23
30684,99,8:31:24
30685,100,8:31:25
30686,102,8:31:26
30687,103,8:31:27
30688,104,8:31:28
30689,104,8:31:29
30690,104,8:31:30
30691,105,8:31:31
30692,105,8:31:32
30693,106,8:31:33
30694,106,8:31:34
30695,107,8:31:35
30696,107,8:31:36
30697,106,8:31:37
30698,103,8:31:38
30699,102,8:31:39
30700,101,8:31:40
30701,100,8:31:41
30702,102,8:31:42
30703,102,8:31:43
30704,104,8:31:44
30705,104,8:31:45
30706,103,8:31:46
30707,100,8:31:47
30708,92,8:31:48
30709,91,8:31:49
30710,90,8:31:50
30711,91,8:31:51
30712,92,8:31:52
30713,92,8:31:53
30714,91,8:31:54
30715,90,8:31:55
30716,89,8:31:56
30717,89,8:31:57
30718,88,8:31:58
30719,88,8:31:59
30720,90,8:32:00
30721,91,8:32:01
30722,91,8:32:02
30723,91,8:32:03
30724,91,8:32:04
30725,91,8:32:05
30726,90,8:32:06
30727,90,8:32:07
30728,91,8:32:08
30729,91,8:32:09
30730,91,8:32:10
30731,91,8:32:11
30732,92,8:32:12
30733,92,8:32:13
30734,90,8:32:14
30735,89,8:32:15
30736,89,8:32:16
30737,89,8:32:17
30738,90,8:32:18
30739,90,8:32:19
30740,91,8:32:20
30741,90,8:32:21
30742,90,8:32:22
30743,91,8:32:23
30744,92,8:32:24
30745,96,8:32:25
30746,97,8:32:26
30747,94,8:32:27
30748,93,8:32:28
30749,94,8:32:29
30750,96,8:32:30
30751,97,8:32:31
30752,99,8:32:32
30753,99,8:32:33
30754,100,8:32:34
30755,102,8:32:35
30756,103,8:32:36
30757,106,8:32:37
30758,107,8:32:38
30759,108,8:32:39
30760,109,8:32:40
30761,110,8:32:41
30762,110,8:32:42
30763,109,8:32:43
30764,108,8:32:44
30765,105,8:32:45
30766,103,8:32:46
30767,100,8:32:47
30768,100,8:32:48
30769,99,8:32:49
30770,99,8:32:50
30771,99,8:32:51
30772,98,8:32:52
30773,95,8:32:53
30774,93,8:32:54
30775,92,8:32:55
30776,93,8:32:56
30777,95,8:32:57
30778,96,8:32:58
30779,98,8:32:59
30780,98,8:33:00
30781,100,8:33:01
30782,98,8:33:02
30783,97,8:33:03
30784,95,8:33:04
30785,95,8:33:05
30786,95,8:33:06
30787,95,8:33:07
30788,95,8:33:08
30789,94,8:33:09
30790,94,8:33:10
30791,94,8:33:11
30792,95,8:33:12
30793,95,8:33:13
30794,95,8:33:14
30795,96,8:33:15
30796,97,8:33:16
30797,97,8:33:17
30798,95,8:33:18
30799,93,8:33:19
30800,91,8:33:20
30801,91,8:33:21
30802,91,8:33:22
30803,93,8:33:23
30804,94,8:33:24
30805,94,8:33:25
30806,95,8:33:26
30807,95,8:33:27
30808,94,8:33:28
30809,92,8:33:29
30810,92,8:33:30
30811,92,8:33:31
30812,92,8:33:32
30813,92,8:33:33
30814,94,8:33:34
30815,95,8:33:35
30816,97,8:33:36
30817,98,8:33:37
30818,94,8:33:38
30819,92,8:33:39
30820,91,8:33:40
30821,89,8:33:41
30822,88,8:33:42
30823,88,8:33:43
30824,89,8:33:44
30825,89,8:33:45
30826,90,8:33:46
30827,90,8:33:47
30828,90,8:33:48
30829,89,8:33:49
30830,88,8:33:50
30831,87,8:33:51
30832,87,8:33:52
30833,87,8:33:53
30834,86,8:33:54
30835,86,8:33:55
30836,86,8:33:56
30837,86,8:33:57
30838,86,8:33:58
30839,86,8:33:59
30840,85,8:34:00
30841,85,8:34:01
30842,84,8:34:02
30843,84,8:34:03
30844,83,8:34:04
30845,84,8:34:05
30846,85,8:34:06
30847,86,8:34:07
