Seconds Since Midnight,Heartbeat,Time HH:MM:SS
53914,112,14:58:34
53915,112,14:58:35
53916,114,14:58:36
53917,113,14:58:37
53918,113,14:58:38
53919,115,14:58:39
53920,113,14:58:40
53921,113,14:58:41
53922,113,14:58:42
53923,108,14:58:43
53924,108,14:58:44
53925,108,14:58:45
53926,110,14:58:46
53927,110,14:58:47
53928,111,14:58:48
53929,111,14:58:49
53930,111,14:58:50
53931,111,14:58:51
53932,108,14:58:52
53933,105,14:58:53
53934,105,14:58:54
53935,104,14:58:55
53936,104,14:58:56
53937,104,14:58:57
53938,104,14:58:58
53939,105,14:58:59
53940,105,14:59:00
53941,105,14:59:01
53942,108,14:59:02
53943,108,14:59:03
53944,105,14:59:04
53945,105,14:59:05
53946,105,14:59:06
53947,107,14:59:07
53948,111,14:59:08
53949,112,14:59:09
53950,112,14:59:10
53951,112,14:59:11
53952,110,14:59:12
53953,110,14:59:13
53954,112,14:59:14
53955,111,14:59:15
53956,105,14:59:16
53957,105,14:59:17
53958,99,14:59:18
53959,99,14:59:19
53960,104,14:59:20
53961,104,14:59:21
53962,109,14:59:22
53963,103,14:59:23
53964,101,14:59:24
53965,101,14:59:25
53966,103,14:59:26
53967,103,14:59:27
53968,109,14:59:28
53969,111,14:59:29
53970,113,14:59:30
53971,113,14:59:31
53972,113,14:59:32
53973,112,14:59:33
53974,112,14:59:34
53975,104,14:59:35
53976,103,14:59:36
53977,103,14:59:37
53978,103,14:59:38
53979,103,14:59:39
53980,98,14:59:40
53981,98,14:59:41
53982,98,14:59:42
53983,99,14:59:43
53984,99,14:59:44
53985,99,14:59:45
53986,105,14:59:46
53987,105,14:59:47
53988,107,14:59:48
53989,107,14:59:49
53990,107,14:59:50
53991,108,14:59:51
53992,108,14:59:52
53993,108,14:59:53
53994,111,14:59:54
53995,111,14:59:55
53996,112,14:59:56
53997,111,14:59:57
53998,111,14:59:58
53999,110,14:59:59
54000,100,15:00:00
54001,101,15:00:01
54002,101,15:00:02
54003,101,15:00:03
54004,100,15:00:04
54005,95,15:00:05
54006,95,15:00:06
54007,85,15:00:07
54008,85,15:00:08
54009,85,15:00:09
54010,92,15:00:10
54011,92,15:00:11
54012,91,15:00:12
54013,91,15:00:13
54014,91,15:00:14
54015,97,15:00:15
54016,97,15:00:16
54017,104,15:00:17
54018,106,15:00:18
54019,104,15:00:19
54020,105,15:00:20
54021,105,15:00:21
54022,105,15:00:22
54023,104,15:00:23
54024,104,15:00:24
54025,104,15:00:25
54026,105,15:00:26
54027,105,15:00:27
54028,112,15:00:28
54029,112,15:00:29
54030,112,15:00:30
54031,110,15:00:31
54032,110,15:00:32
54033,110,15:00:33
54034,113,15:00:34
54035,113,15:00:35
54036,115,15:00:36
54037,115,15:00:37
54038,113,15:00:38
54039,111,15:00:39
54040,111,15:00:40
54041,112,15:00:41
54042,112,15:00:42
54043,112,15:00:43
54044,110,15:00:44
54045,110,15:00:45
54046,107,15:00:46
54047,108,15:00:47
54048,109,15:00:48
54049,109,15:00:49
54050,102,15:00:50
54051,102,15:00:51
54052,102,15:00:52
54053,103,15:00:53
54054,103,15:00:54
54055,103,15:00:55
54056,104,15:00:56
54057,104,15:00:57
54058,105,15:00:58
54059,107,15:00:59
54060,107,15:01:00
54061,113,15:01:01
54062,113,15:01:02
54063,108,15:01:03
54064,108,15:01:04
54065,100,15:01:05
54066,84,15:01:06
54067,84,15:01:07
54068,83,15:01:08
54069,83,15:01:09
54070,83,15:01:10
54071,84,15:01:11
54072,89,15:01:12
54073,91,15:01:13
54074,91,15:01:14
54075,91,15:01:15
54076,95,15:01:16
54077,96,15:01:17
54078,95,15:01:18
54079,95,15:01:19
54080,95,15:01:20
54081,95,15:01:21
54082,95,15:01:22
54083,97,15:01:23
54084,97,15:01:24
54085,88,15:01:25
54086,88,15:01:26
54087,88,15:01:27
54088,88,15:01:28
54089,88,15:01:29
54090,92,15:01:30
54091,92,15:01:31
54092,98,15:01:32
54093,98,15:01:33
54094,97,15:01:34
54095,97,15:01:35
54096,95,15:01:36
54097,92,15:01:37
54098,92,15:01:38
54099,92,15:01:39
54100,93,15:01:40
54101,95,15:01:41
54102,95,15:01:42
54103,95,15:01:43
54104,97,15:01:44
54105,97,15:01:45
54106,99,15:01:46
54107,99,15:01:47
54108,97,15:01:48
54109,95,15:01:49
54110,95,15:01:50
54111,92,15:01:51
54112,91,15:01:52
54113,91,15:01:53
54114,91,15:01:54
54115,92,15:01:55
54116,93,15:01:56
54117,93,15:01:57
54118,93,15:01:58
54119,92,15:01:59
54120,92,15:02:00
54121,92,15:02:01
54122,92,15:02:02
54123,92,15:02:03
54124,92,15:02:04
54125,95,15:02:05
54126,95,15:02:06
54127,95,15:02:07
54128,95,15:02:08
54129,91,15:02:09
54130,91,15:02:10
54131,92,15:02:11
54132,94,15:02:12
54133,94,15:02:13
54134,97,15:02:14
54135,95,15:02:15
54136,95,15:02:16
54137,95,15:02:17
54138,90,15:02:18
54139,90,15:02:19
54140,89,15:02:20
54141,90,15:02:21
54142,91,15:02:22
54143,91,15:02:23
