Seconds Since Midnight,Heartbeat,Time HH:MM:SS
40200,105,11:10:00
40201,105,11:10:01
40202,106,11:10:02
40203,107,11:10:03
40204,107,11:10:04
40205,110,11:10:05
40206,112,11:10:06
40207,115,11:10:07
40208,118,11:10:08
40209,120,11:10:09
40210,120,11:10:10
40211,120,11:10:11
40212,115,11:10:12
40213,112,11:10:13
40214,112,11:10:14
40215,112,11:10:15
40216,112,11:10:16
40217,110,11:10:17
40218,111,11:10:18
40219,111,11:10:19
40220,113,11:10:20
40221,116,11:10:21
40222,117,11:10:22
40223,117,11:10:23
40224,121,11:10:24
40225,121,11:10:25
40226,120,11:10:26
40227,120,11:10:27
40228,118,11:10:28
40229,118,11:10:29
40230,118,11:10:30
40231,118,11:10:31
40232,118,11:10:32
40233,117,11:10:33
40234,116,11:10:34
40235,114,11:10:35
40236,113,11:10:36
40237,108,11:10:37
40238,108,11:10:38
40239,103,11:10:39
40240,103,11:10:40
40241,103,11:10:41
40242,104,11:10:42
40243,106,11:10:43
40244,108,11:10:44
40245,108,11:10:45
40246,109,11:10:46
40247,112,11:10:47
40248,112,11:10:48
40249,116,11:10:49
40250,116,11:10:50
40251,116,11:10:51
40252,109,11:10:52
40253,106,11:10:53
40254,105,11:10:54
40255,105,11:10:55
40256,105,11:10:56
40257,103,11:10:57
40258,104,11:10:58
40259,104,11:10:59
40260,107,11:11:00
40261,107,11:11:01
40262,107,11:11:02
40263,104,11:11:03
40264,102,11:11:04
40265,102,11:11:05
40266,101,11:11:06
40267,101,11:11:07
40268,98,11:11:08
40269,96,11:11:09
40270,96,11:11:10
40271,99,11:11:11
40272,99,11:11:12
40273,102,11:11:13
40274,102,11:11:14
40275,100,11:11:15
40276,100,11:11:16
40277,99,11:11:17
40278,99,11:11:18
40279,102,11:11:19
40280,102,11:11:20
40281,107,11:11:21
40282,107,11:11:22
40283,107,11:11:23
40284,101,11:11:24
40285,98,11:11:25
40286,98,11:11:26
40287,99,11:11:27
40288,99,11:11:28
40289,104,11:11:29
40290,107,11:11:30
40291,107,11:11:31
40292,112,11:11:32
40293,112,11:11:33
40294,113,11:11:34
40295,114,11:11:35
40296,114,11:11:36
40297,114,11:11:37
40298,114,11:11:38
40299,107,11:11:39
40300,107,11:11:40
40301,107,11:11:41
40302,107,11:11:42
40303,110,11:11:43
40304,110,11:11:44
40305,114,11:11:45
40306,116,11:11:46
40307,116,11:11:47
40308,116,11:11:48
40309,104,11:11:49
40310,101,11:11:50
40311,101,11:11:51
40312,101,11:11:52
40313,103,11:11:53
40314,103,11:11:54
40315,103,11:11:55
40316,104,11:11:56
40317,104,11:11:57
40318,104,11:11:58
40319,103,11:11:59
40320,104,11:12:00
40321,106,11:12:01
40322,106,11:12:02
40323,106,11:12:03
40324,110,11:12:04
40325,111,11:12:05
40326,112,11:12:06
40327,112,11:12:07
40328,112,11:12:08
40329,113,11:12:09
40330,113,11:12:10
40331,110,11:12:11
40332,110,11:12:12
40333,110,11:12:13
40334,106,11:12:14
40335,105,11:12:15
40336,105,11:12:16
40337,105,11:12:17
40338,105,11:12:18
40339,106,11:12:19
40340,107,11:12:20
40341,107,11:12:21
40342,107,11:12:22
40343,99,11:12:23
40344,99,11:12:24
40345,93,11:12:25
40346,93,11:12:26
40347,96,11:12:27
40348,102,11:12:28
40349,102,11:12:29
40350,99,11:12:30
40351,99,11:12:31
40352,96,11:12:32
40353,96,11:12:33
40354,96,11:12:34
40355,98,11:12:35
40356,99,11:12:36
40357,99,11:12:37
40358,99,11:12:38
40359,100,11:12:39
40360,102,11:12:40
40361,105,11:12:41
40362,105,11:12:42
40363,110,11:12:43
40364,110,11:12:44
40365,111,11:12:45
40366,111,11:12:46
40367,113,11:12:47
40368,112,11:12:48
40369,112,11:12:49
40370,112,11:12:50
40371,107,11:12:51
40372,107,11:12:52
40373,107,11:12:53
40374,106,11:12:54
40375,104,11:12:55
40376,104,11:12:56
40377,102,11:12:57
40378,103,11:12:58
40379,105,11:12:59
40380,105,11:13:00
40381,109,11:13:01
40382,111,11:13:02
40383,111,11:13:03
40384,108,11:13:04
40385,108,11:13:05
40386,101,11:13:06
40387,101,11:13:07
40388,103,11:13:08
40389,106,11:13:09
40390,106,11:13:10
40391,108,11:13:11
40392,108,11:13:12
40393,108,11:13:13
40394,108,11:13:14
40395,108,11:13:15
40396,108,11:13:16
40397,106,11:13:17
40398,104,11:13:18
40399,104,11:13:19
40400,106,11:13:20
40401,106,11:13:21
40402,106,11:13:22
40403,106,11:13:23
40404,103,11:13:24
40405,103,11:13:25
40406,104,11:13:26
40407,105,11:13:27
40408,105,11:13:28
40409,105,11:13:29
40410,105,11:13:30
40411,102,11:13:31
40412,101,11:13:32
40413,101,11:13:33
40414,103,11:13:34
40415,104,11:13:35
40416,104,11:13:36
40417,103,11:13:37
40418,103,11:13:38
40419,101,11:13:39
40420,101,11:13:40
40421,101,11:13:41
40422,101,11:13:42
40423,101,11:13:43
40424,111,11:13:44
40425,113,11:13:45
40426,115,11:13:46
40427,116,11:13:47
40428,117,11:13:48
40429,117,11:13:49
40430,116,11:13:50
40431,116,11:13:51
40432,98,11:13:52
40433,98,11:13:53
40434,97,11:13:54
40435,96,11:13:55
40436,95,11:13:56
40437,95,11:13:57
40438,96,11:13:58
40439,99,11:13:59
40440,99,11:14:00
40441,99,11:14:01
40442,99,11:14:02
40443,101,11:14:03
40444,102,11:14:04
40445,102,11:14:05
40446,103,11:14:06
40447,102,11:14:07
40448,103,11:14:08
40449,103,11:14:09
40450,103,11:14:10
40451,105,11:14:11
40452,105,11:14:12
40453,105,11:14:13
40454,106,11:14:14
40455,107,11:14:15
40456,107,11:14:16
40457,106,11:14:17
40458,106,11:14:18
40459,105,11:14:19
40460,104,11:14:20
40461,104,11:14:21
40462,105,11:14:22
40463,107,11:14:23
40464,107,11:14:24
40465,107,11:14:25
40466,108,11:14:26
40467,109,11:14:27
40468,109,11:14:28
40469,112,11:14:29
40470,112,11:14:30
40471,112,11:14:31
40472,98,11:14:32
40473,98,11:14:33
40474,97,11:14:34
40475,96,11:14:35
40476,96,11:14:36
40477,96,11:14:37
40478,98,11:14:38
40479,99,11:14:39
40480,99,11:14:40
40481,101,11:14:41
40482,101,11:14:42
40483,102,11:14:43
40484,102,11:14:44
40485,101,11:14:45
40486,101,11:14:46
40487,101,11:14:47
40488,102,11:14:48
40489,102,11:14:49
40490,104,11:14:50
40491,105,11:14:51
40492,105,11:14:52
40493,101,11:14:53
40494,101,11:14:54
40495,98,11:14:55
40496,98,11:14:56
40497,102,11:14:57
40498,102,11:14:58
40499,105,11:14:59
40500,105,11:15:00
40501,106,11:15:01
40502,106,11:15:02
40503,105,11:15:03
40504,105,11:15:04
40505,105,11:15:05
40506,100,11:15:06
40507,100,11:15:07
40508,99,11:15:08
40509,99,11:15:09
40510,99,11:15:10
40511,99,11:15:11
40512,99,11:15:12
40513,99,11:15:13
40514,100,11:15:14
40515,100,11:15:15
40516,99,11:15:16
40517,99,11:15:17
40518,99,11:15:18
40519,97,11:15:19
40520,97,11:15:20
40521,98,11:15:21
40522,98,11:15:22
40523,102,11:15:23
40524,103,11:15:24
40525,104,11:15:25
40526,105,11:15:26
40527,105,11:15:27
40528,105,11:15:28
40529,109,11:15:29
40530,110,11:15:30
40531,110,11:15:31
40532,108,11:15:32
40533,108,11:15:33
40534,99,11:15:34
40535,99,11:15:35
40536,99,11:15:36
40537,100,11:15:37
40538,107,11:15:38
40539,109,11:15:39
40540,109,11:15:40
40541,107,11:15:41
40542,107,11:15:42
40543,96,11:15:43
40544,90,11:15:44
40545,90,11:15:45
40546,91,11:15:46
40547,93,11:15:47
40548,93,11:15:48
40549,97,11:15:49
40550,98,11:15:50
40551,95,11:15:51
40552,95,11:15:52
40553,94,11:15:53
40554,94,11:15:54
40555,97,11:15:55
40556,97,11:15:56
40557,102,11:15:57
40558,103,11:15:58
40559,103,11:15:59
40560,103,11:16:00
40561,107,11:16:01
40562,106,11:16:02
40563,106,11:16:03
40564,106,11:16:04
40565,107,11:16:05
40566,107,11:16:06
40567,106,11:16:07
40568,106,11:16:08
40569,99,11:16:09
40570,99,11:16:10
40571,99,11:16:11
40572,100,11:16:12
40573,99,11:16:13
40574,98,11:16:14
40575,98,11:16:15
40576,96,11:16:16
40577,96,11:16:17
40578,96,11:16:18
40579,96,11:16:19
40580,95,11:16:20
40581,95,11:16:21
40582,96,11:16:22
40583,99,11:16:23
40584,99,11:16:24
40585,102,11:16:25
40586,102,11:16:26
40587,106,11:16:27
40588,105,11:16:28
40589,105,11:16:29
40590,105,11:16:30
40591,103,11:16:31
40592,105,11:16:32
40593,105,11:16:33
40594,109,11:16:34
40595,110,11:16:35
40596,110,11:16:36
40597,110,11:16:37
40598,106,11:16:38
40599,103,11:16:39
40600,101,11:16:40
40601,101,11:16:41
40602,102,11:16:42
40603,105,11:16:43
40604,106,11:16:44
40605,104,11:16:45
40606,104,11:16:46
40607,99,11:16:47
40608,99,11:16:48
40609,96,11:16:49
40610,97,11:16:50
40611,97,11:16:51
40612,97,11:16:52
40613,97,11:16:53
40614,97,11:16:54
40615,99,11:16:55
40616,99,11:16:56
40617,98,11:16:57
40618,97,11:16:58
40619,95,11:16:59
40620,95,11:17:00
40621,95,11:17:01
40622,95,11:17:02
40623,96,11:17:03
40624,96,11:17:04
40625,97,11:17:05
40626,95,11:17:06
40627,94,11:17:07
40628,94,11:17:08
40629,94,11:17:09
40630,94,11:17:10
40631,96,11:17:11
40632,99,11:17:12
40633,99,11:17:13
40634,104,11:17:14
40635,106,11:17:15
40636,106,11:17:16
40637,101,11:17:17
40638,101,11:17:18
40639,99,11:17:19
40640,98,11:17:20
40641,100,11:17:21
40642,100,11:17:22
40643,103,11:17:23
40644,103,11:17:24
40645,105,11:17:25
40646,106,11:17:26
40647,106,11:17:27
40648,105,11:17:28
40649,105,11:17:29
40650,95,11:17:30
40651,95,11:17:31
40652,95,11:17:32
40653,96,11:17:33
40654,99,11:17:34
40655,99,11:17:35
40656,99,11:17:36
40657,88,11:17:37
40658,87,11:17:38
40659,87,11:17:39
40660,89,11:17:40
40661,90,11:17:41
40662,90,11:17:42
40663,93,11:17:43
40664,96,11:17:44
40665,96,11:17:45
40666,95,11:17:46
40667,94,11:17:47
40668,92,11:17:48
40669,93,11:17:49
40670,93,11:17:50
40671,94,11:17:51
40672,106,11:17:52
40673,106,11:17:53
40674,108,11:17:54
40675,108,11:17:55
40676,110,11:17:56
40677,110,11:17:57
40678,110,11:17:58
40679,108,11:17:59
40680,108,11:18:00
40681,105,11:18:01
40682,105,11:18:02
40683,103,11:18:03
40684,99,11:18:04
40685,99,11:18:05
40686,100,11:18:06
40687,103,11:18:07
40688,103,11:18:08
40689,107,11:18:09
40690,107,11:18:10
40691,107,11:18:11
40692,105,11:18:12
40693,103,11:18:13
40694,101,11:18:14
40695,101,11:18:15
40696,102,11:18:16
40697,103,11:18:17
40698,103,11:18:18
