Seconds Since Midnight,Heartbeat,Time HH:MM:SS
33300,118,9:15:00
33301,117,9:15:01
33302,115,9:15:02
33303,115,9:15:03
33304,108,9:15:04
33305,108,9:15:05
33306,111,9:15:06
33307,111,9:15:07
33308,112,9:15:08
33309,112,9:15:09
33310,113,9:15:10
33311,113,9:15:11
33312,108,9:15:12
33313,108,9:15:13
33314,104,9:15:14
33315,106,9:15:15
33316,106,9:15:16
33317,112,9:15:17
33318,114,9:15:18
33319,115,9:15:19
33320,116,9:15:20
33321,116,9:15:21
33322,117,9:15:22
33323,117,9:15:23
33324,121,9:15:24
33325,121,9:15:25
33326,125,9:15:26
33327,125,9:15:27
33328,128,9:15:28
33329,128,9:15:29
33330,121,9:15:30
33331,121,9:15:31
33332,122,9:15:32
33333,122,9:15:33
33334,125,9:15:34
33335,125,9:15:35
33336,128,9:15:36
33337,128,9:15:37
33338,127,9:15:38
33339,127,9:15:39
33340,128,9:15:40
33341,128,9:15:41
33342,128,9:15:42
33343,128,9:15:43
33344,127,9:15:44
33345,127,9:15:45
33346,125,9:15:46
33347,124,9:15:47
33348,124,9:15:48
33349,123,9:15:49
33350,124,9:15:50
33351,124,9:15:51
33352,127,9:15:52
33353,127,9:15:53
33354,129,9:15:54
33355,129,9:15:55
33356,134,9:15:56
33357,134,9:15:57
33358,134,9:15:58
33359,132,9:15:59
33360,132,9:16:00
33361,132,9:16:01
33362,133,9:16:02
33363,133,9:16:03
33364,134,9:16:04
33365,134,9:16:05
33366,134,9:16:06
33367,132,9:16:07
33368,132,9:16:08
33369,130,9:16:09
33370,129,9:16:10
33371,129,9:16:11
33372,130,9:16:12
33373,130,9:16:13
33374,134,9:16:14
33375,135,9:16:15
33376,135,9:16:16
33377,136,9:16:17
33378,135,9:16:18
33379,135,9:16:19
33380,135,9:16:20
33381,137,9:16:21
33382,137,9:16:22
33383,138,9:16:23
33384,138,9:16:24
33385,139,9:16:25
33386,139,9:16:26
33387,138,9:16:27
33388,138,9:16:28
33389,135,9:16:29
33390,135,9:16:30
33391,136,9:16:31
33392,137,9:16:32
33393,137,9:16:33
33394,138,9:16:34
33395,137,9:16:35
33396,137,9:16:36
33397,128,9:16:37
33398,128,9:16:38
33399,126,9:16:39
33400,126,9:16:40
33401,127,9:16:41
33402,127,9:16:42
33403,128,9:16:43
33404,128,9:16:44
33405,128,9:16:45
33406,128,9:16:46
33407,130,9:16:47
33408,130,9:16:48
33409,133,9:16:49
33410,139,9:16:50
33411,139,9:16:51
33412,139,9:16:52
33413,142,9:16:53
33414,142,9:16:54
33415,142,9:16:55
33416,139,9:16:56
33417,135,9:16:57
33418,132,9:16:58
33419,132,9:16:59
33420,131,9:17:00
33421,132,9:17:01
33422,133,9:17:02
33423,133,9:17:03
33424,133,9:17:04
33425,133,9:17:05
33426,135,9:17:06
33427,137,9:17:07
33428,137,9:17:08
33429,135,9:17:09
33430,135,9:17:10
33431,127,9:17:11
33432,127,9:17:12
33433,123,9:17:13
33434,124,9:17:14
33435,124,9:17:15
33436,129,9:17:16
33437,129,9:17:17
33438,129,9:17:18
33439,123,9:17:19
33440,123,9:17:20
33441,121,9:17:21
33442,121,9:17:22
33443,119,9:17:23
33444,120,9:17:24
33445,123,9:17:25
33446,123,9:17:26
33447,127,9:17:27
33448,127,9:17:28
33449,127,9:17:29
33450,122,9:17:30
33451,120,9:17:31
33452,120,9:17:32
33453,124,9:17:33
33454,124,9:17:34
33455,127,9:17:35
33456,126,9:17:36
33457,124,9:17:37
33458,122,9:17:38
33459,122,9:17:39
33460,123,9:17:40
33461,123,9:17:41
33462,125,9:17:42
33463,125,9:17:43
33464,125,9:17:44
33465,122,9:17:45
33466,123,9:17:46
33467,123,9:17:47
33468,123,9:17:48
33469,122,9:17:49
33470,122,9:17:50
33471,122,9:17:51
33472,122,9:17:52
33473,122,9:17:53
33474,122,9:17:54
33475,124,9:17:55
33476,124,9:17:56
33477,124,9:17:57
33478,127,9:17:58
33479,127,9:17:59
33480,113,9:18:00
33481,115,9:18:01
33482,115,9:18:02
33483,117,9:18:03
33484,121,9:18:04
33485,123,9:18:05
33486,123,9:18:06
33487,127,9:18:07
33488,127,9:18:08
33489,126,9:18:09
33490,126,9:18:10
33491,126,9:18:11
33492,127,9:18:12
33493,130,9:18:13
33494,132,9:18:14
33495,133,9:18:15
33496,133,9:18:16
33497,129,9:18:17
33498,127,9:18:18
33499,127,9:18:19
