Seconds Since Midnight,Heartbeat,Time HH:MM:SS
49800,81,13:50:00
49801,81,13:50:01
49802,81,13:50:02
49803,81,13:50:03
49804,81,13:50:04
49805,81,13:50:05
49806,81,13:50:06
49807,81,13:50:07
49808,83,13:50:08
49809,84,13:50:09
49810,84,13:50:10
49811,86,13:50:11
49812,86,13:50:12
49813,86,13:50:13
49814,86,13:50:14
49815,86,13:50:15
49816,86,13:50:16
49817,86,13:50:17
49818,86,13:50:18
49819,84,13:50:19
49820,84,13:50:20
49821,84,13:50:21
49822,85,13:50:22
49823,85,13:50:23
49824,85,13:50:24
49825,85,13:50:25
49826,85,13:50:26
49827,85,13:50:27
49828,86,13:50:28
49829,86,13:50:29
49830,86,13:50:30
49831,91,13:50:31
49832,93,13:50:32
49833,93,13:50:33
49834,94,13:50:34
49835,94,13:50:35
49836,96,13:50:36
49837,96,13:50:37
49838,96,13:50:38
49839,97,13:50:39
49840,98,13:50:40
49841,98,13:50:41
49842,98,13:50:42
49843,97,13:50:43
49844,97,13:50:44
49845,97,13:50:45
49846,97,13:50:46
49847,96,13:50:47
49848,96,13:50:48
49849,96,13:50:49
49850,96,13:50:50
49851,96,13:50:51
49852,96,13:50:52
49853,96,13:50:53
49854,94,13:50:54
49855,94,13:50:55
49856,94,13:50:56
49857,93,13:50:57
49858,93,13:50:58
49859,93,13:50:59
49860,94,13:51:00
49861,94,13:51:01
49862,94,13:51:02
49863,94,13:51:03
49864,95,13:51:04
49865,95,13:51:05
49866,95,13:51:06
49867,95,13:51:07
49868,95,13:51:08
49869,94,13:51:09
49870,94,13:51:10
49871,94,13:51:11
49872,94,13:51:12
49873,94,13:51:13
49874,94,13:51:14
49875,94,13:51:15
49876,91,13:51:16
49877,90,13:51:17
49878,90,13:51:18
49879,88,13:51:19
49880,87,13:51:20
49881,87,13:51:21
49882,87,13:51:22
49883,87,13:51:23
49884,87,13:51:24
49885,87,13:51:25
49886,87,13:51:26
49887,87,13:51:27
49888,87,13:51:28
49889,86,13:51:29
49890,86,13:51:30
49891,86,13:51:31
49892,86,13:51:32
49893,87,13:51:33
49894,87,13:51:34
49895,89,13:51:35
49896,89,13:51:36
49897,89,13:51:37
49898,90,13:51:38
49899,90,13:51:39
49900,91,13:51:40
49901,91,13:51:41
49902,91,13:51:42
49903,91,13:51:43
49904,91,13:51:44
49905,92,13:51:45
49906,92,13:51:46
49907,92,13:51:47
49908,94,13:51:48
49909,94,13:51:49
49910,95,13:51:50
49911,98,13:51:51
49912,98,13:51:52
49913,102,13:51:53
49914,105,13:51:54
49915,107,13:51:55
49916,110,13:51:56
49917,111,13:51:57
49918,111,13:51:58
49919,111,13:51:59
49920,109,13:52:00
49921,109,13:52:01
49922,110,13:52:02
49923,111,13:52:03
49924,111,13:52:04
49925,112,13:52:05
49926,112,13:52:06
49927,112,13:52:07
49928,112,13:52:08
49929,112,13:52:09
49930,112,13:52:10
49931,112,13:52:11
49932,111,13:52:12
49933,110,13:52:13
49934,110,13:52:14
49935,110,13:52:15
49936,108,13:52:16
49937,104,13:52:17
49938,104,13:52:18
49939,101,13:52:19
49940,100,13:52:20
49941,100,13:52:21
49942,99,13:52:22
49943,98,13:52:23
49944,96,13:52:24
49945,96,13:52:25
49946,95,13:52:26
49947,92,13:52:27
49948,91,13:52:28
