Seconds Since Midnight,Heartbeat,Time HH:MM:SS
33300,106,9:15:00
33301,109,9:15:01
33302,112,9:15:02
33303,114,9:15:03
33304,116,9:15:04
33305,116,9:15:05
33306,116,9:15:06
33307,116,9:15:07
33308,115,9:15:08
33309,115,9:15:09
33310,113,9:15:10
33311,105,9:15:11
33312,94,9:15:12
33313,89,9:15:13
33314,89,9:15:14
33315,91,9:15:15
33316,92,9:15:16
33317,92,9:15:17
33318,92,9:15:18
33319,94,9:15:19
33320,98,9:15:20
33321,99,9:15:21
33322,100,9:15:22
33323,100,9:15:23
33324,104,9:15:24
33325,106,9:15:25
33326,107,9:15:26
33327,107,9:15:27
33328,106,9:15:28
33329,101,9:15:29
33330,97,9:15:30
33331,95,9:15:31
33332,97,9:15:32
33333,97,9:15:33
33334,99,9:15:34
33335,99,9:15:35
33336,97,9:15:36
33337,94,9:15:37
33338,90,9:15:38
33339,89,9:15:39
33340,87,9:15:40
33341,87,9:15:41
33342,90,9:15:42
33343,98,9:15:43
33344,100,9:15:44
33345,102,9:15:45
33346,103,9:15:46
33347,98,9:15:47
33348,91,9:15:48
33349,88,9:15:49
33350,86,9:15:50
33351,85,9:15:51
33352,84,9:15:52
33353,86,9:15:53
33354,94,9:15:54
33355,97,9:15:55
33356,98,9:15:56
33357,98,9:15:57
33358,101,9:15:58
33359,101,9:15:59
33360,101,9:16:00
33361,101,9:16:01
33362,101,9:16:02
33363,102,9:16:03
33364,102,9:16:04
33365,103,9:16:05
33366,103,9:16:06
33367,103,9:16:07
33368,103,9:16:08
33369,103,9:16:09
33370,103,9:16:10
33371,103,9:16:11
33372,103,9:16:12
33373,103,9:16:13
33374,103,9:16:14
33375,103,9:16:15
33376,103,9:16:16
33377,103,9:16:17
33378,103,9:16:18
33379,103,9:16:19
33380,103,9:16:20
33381,103,9:16:21
33382,103,9:16:22
33383,103,9:16:23
33384,103,9:16:24
33385,103,9:16:25
33386,103,9:16:26
33387,103,9:16:27
33388,103,9:16:28
33389,103,9:16:29
33390,103,9:16:30
33391,103,9:16:31
33392,103,9:16:32
33393,103,9:16:33
33394,103,9:16:34
33395,103,9:16:35
33396,103,9:16:36
33397,103,9:16:37
33398,103,9:16:38
33399,103,9:16:39
33400,103,9:16:40
33401,103,9:16:41
33402,103,9:16:42
33403,103,9:16:43
33404,103,9:16:44
33405,103,9:16:45
33406,103,9:16:46
33407,103,9:16:47
33408,102,9:16:48
33409,102,9:16:49
33410,101,9:16:50
33411,101,9:16:51
33412,100,9:16:52
33413,100,9:16:53
33414,100,9:16:54
33415,99,9:16:55
33416,99,9:16:56
33417,99,9:16:57
33418,99,9:16:58
33419,98,9:16:59
33420,98,9:17:00
33839,90,9:23:59
33840,90,9:24:00
33841,88,9:24:01
33842,86,9:24:02
33843,86,9:24:03
33844,84,9:24:04
33845,82,9:24:05
33846,81,9:24:06
33847,79,9:24:07
33848,78,9:24:08
33849,78,9:24:09
33850,78,9:24:10
33851,76,9:24:11
33852,76,9:24:12
33853,76,9:24:13
33854,76,9:24:14
33855,76,9:24:15
33856,76,9:24:16
33857,74,9:24:17
33858,74,9:24:18
33859,74,9:24:19
33860,74,9:24:20
33861,74,9:24:21
33862,74,9:24:22
33863,75,9:24:23
33864,76,9:24:24
33865,76,9:24:25
33866,76,9:24:26
33867,75,9:24:27
33868,76,9:24:28
33869,77,9:24:29
33870,78,9:24:30
33871,78,9:24:31
33872,79,9:24:32
33873,79,9:24:33
33874,79,9:24:34
33875,80,9:24:35
33876,81,9:24:36
33877,84,9:24:37
33878,84,9:24:38
33879,84,9:24:39
33880,84,9:24:40
33881,84,9:24:41
33882,84,9:24:42
33883,85,9:24:43
33884,85,9:24:44
33885,85,9:24:45
33886,84,9:24:46
33887,83,9:24:47
33888,82,9:24:48
33889,82,9:24:49
33890,81,9:24:50
33891,81,9:24:51
33892,82,9:24:52
33893,83,9:24:53
33894,83,9:24:54
33895,86,9:24:55
33896,87,9:24:56
33897,87,9:24:57
33898,87,9:24:58
33899,86,9:24:59
33900,84,9:25:00
33901,84,9:25:01
33902,83,9:25:02
33903,82,9:25:03
33904,82,9:25:04
33905,82,9:25:05
33906,82,9:25:06
33907,82,9:25:07
33908,79,9:25:08
33909,78,9:25:09
33910,77,9:25:10
33911,78,9:25:11
33912,78,9:25:12
33913,80,9:25:13
33914,81,9:25:14
33915,80,9:25:15
33916,80,9:25:16
33917,79,9:25:17
33918,78,9:25:18
33919,77,9:25:19
33920,77,9:25:20
33921,77,9:25:21
33922,77,9:25:22
33923,76,9:25:23
33924,76,9:25:24
33925,76,9:25:25
33926,76,9:25:26
33927,78,9:25:27
33928,78,9:25:28
33929,82,9:25:29
33930,83,9:25:30
33931,83,9:25:31
33932,83,9:25:32
33933,83,9:25:33
33934,83,9:25:34
33935,82,9:25:35
33936,82,9:25:36
33937,82,9:25:37
33938,81,9:25:38
33939,80,9:25:39
33940,80,9:25:40
33941,80,9:25:41
33942,81,9:25:42
33943,82,9:25:43
33944,82,9:25:44
33945,81,9:25:45
33946,81,9:25:46
33947,80,9:25:47
33948,79,9:25:48
33949,79,9:25:49
33950,79,9:25:50
33951,89,9:25:51
33952,95,9:25:52
33953,99,9:25:53
33954,99,9:25:54
33955,97,9:25:55
33956,89,9:25:56
33957,85,9:25:57
33958,84,9:25:58
33959,84,9:25:59
33960,86,9:26:00
33961,87,9:26:01
33962,90,9:26:02
33963,92,9:26:03
33964,93,9:26:04
33965,92,9:26:05
33966,90,9:26:06
33967,90,9:26:07
33968,86,9:26:08
33969,86,9:26:09
33970,86,9:26:10
33971,88,9:26:11
33972,88,9:26:12
33973,88,9:26:13
33974,87,9:26:14
33975,87,9:26:15
33976,86,9:26:16
33977,87,9:26:17
33978,86,9:26:18
33979,86,9:26:19
33980,86,9:26:20
33981,86,9:26:21
33982,87,9:26:22
33983,87,9:26:23
33984,88,9:26:24
33985,87,9:26:25
33986,85,9:26:26
33987,84,9:26:27
33988,85,9:26:28
33989,86,9:26:29
33990,86,9:26:30
33991,88,9:26:31
33992,89,9:26:32
33993,88,9:26:33
33994,87,9:26:34
33995,85,9:26:35
33996,84,9:26:36
33997,84,9:26:37
33998,84,9:26:38
33999,83,9:26:39
34000,83,9:26:40
34001,82,9:26:41
34002,80,9:26:42
34003,80,9:26:43
34004,79,9:26:44
34005,80,9:26:45
34006,80,9:26:46
34007,80,9:26:47
34008,80,9:26:48
34009,79,9:26:49
34010,78,9:26:50
34011,78,9:26:51
34012,78,9:26:52
34013,78,9:26:53
34014,78,9:26:54
34015,78,9:26:55
34016,78,9:26:56
34017,78,9:26:57
34018,78,9:26:58
34019,79,9:26:59
34020,80,9:27:00
34021,81,9:27:01
34022,80,9:27:02
34023,80,9:27:03
34024,80,9:27:04
34025,79,9:27:05
34026,78,9:27:06
34027,78,9:27:07
34028,78,9:27:08
34029,79,9:27:09
34030,79,9:27:10
34031,79,9:27:11
34032,79,9:27:12
34033,79,9:27:13
34034,79,9:27:14
34035,79,9:27:15
34036,79,9:27:16
34037,80,9:27:17
34038,80,9:27:18
34039,80,9:27:19
34040,80,9:27:20
34041,80,9:27:21
34042,81,9:27:22
34043,81,9:27:23
34044,81,9:27:24
34045,82,9:27:25
34046,82,9:27:26
34047,82,9:27:27
34048,81,9:27:28
34049,81,9:27:29
34050,81,9:27:30
34051,81,9:27:31
34052,82,9:27:32
34053,82,9:27:33
34054,83,9:27:34
34055,82,9:27:35
34056,81,9:27:36
34057,80,9:27:37
34058,79,9:27:38
34059,80,9:27:39
34060,86,9:27:40
34061,88,9:27:41
34062,88,9:27:42
34063,91,9:27:43
34064,92,9:27:44
34065,95,9:27:45
34066,98,9:27:46
34067,99,9:27:47
34068,101,9:27:48
34069,100,9:27:49
34070,99,9:27:50
34071,98,9:27:51
34072,96,9:27:52
34073,96,9:27:53
34074,93,9:27:54
34075,92,9:27:55
34076,91,9:27:56
34077,89,9:27:57
34078,88,9:27:58
34079,87,9:27:59
34080,87,9:28:00
34081,85,9:28:01
34082,85,9:28:02
34083,82,9:28:03
34084,80,9:28:04
34085,80,9:28:05
34086,79,9:28:06
34087,79,9:28:07
34088,78,9:28:08
34089,78,9:28:09
34090,78,9:28:10
34091,77,9:28:11
34092,76,9:28:12
34093,75,9:28:13
34094,75,9:28:14
34095,75,9:28:15
34096,75,9:28:16
34097,75,9:28:17
34098,75,9:28:18
34099,74,9:28:19
34100,74,9:28:20
34101,73,9:28:21
34102,73,9:28:22
34103,77,9:28:23
34104,82,9:28:24
34105,89,9:28:25
34106,90,9:28:26
34107,90,9:28:27
34108,89,9:28:28
34109,87,9:28:29
34110,84,9:28:30
34111,82,9:28:31
34112,82,9:28:32
34113,81,9:28:33
34114,80,9:28:34
34115,79,9:28:35
34116,79,9:28:36
34117,78,9:28:37
34118,78,9:28:38
34119,76,9:28:39
34120,74,9:28:40
34121,73,9:28:41
34122,73,9:28:42
34123,75,9:28:43
34124,76,9:28:44
34125,77,9:28:45
34126,78,9:28:46
34127,79,9:28:47
34128,79,9:28:48
34129,78,9:28:49
34130,78,9:28:50
34131,77,9:28:51
34132,77,9:28:52
34133,77,9:28:53
34134,78,9:28:54
34135,80,9:28:55
34136,81,9:28:56
34137,81,9:28:57
34138,81,9:28:58
34139,81,9:28:59
34140,80,9:29:00
34141,81,9:29:01
34142,81,9:29:02
34143,82,9:29:03
34144,83,9:29:04
34145,83,9:29:05
34146,82,9:29:06
34147,81,9:29:07
34148,79,9:29:08
34149,78,9:29:09
34150,78,9:29:10
34151,78,9:29:11
34152,78,9:29:12
34153,78,9:29:13
34154,78,9:29:14
34155,78,9:29:15
34156,79,9:29:16
34157,79,9:29:17
34158,81,9:29:18
34159,81,9:29:19
34160,85,9:29:20
34161,85,9:29:21
