Seconds Since Midnight,Heartbeat,Time HH:MM:SS
37726,79,10:28:46
37727,80,10:28:47
37728,82,10:28:48
37729,83,10:28:49
37730,85,10:28:50
37731,85,10:28:51
37732,85,10:28:52
37733,85,10:28:53
37734,85,10:28:54
37735,84,10:28:55
37736,84,10:28:56
37737,85,10:28:57
37738,85,10:28:58
37739,85,10:28:59
37740,84,10:29:00
37741,83,10:29:01
37742,83,10:29:02
37743,84,10:29:03
37744,85,10:29:04
37745,86,10:29:05
37746,85,10:29:06
37747,80,10:29:07
37748,76,10:29:08
37749,74,10:29:09
37750,75,10:29:10
37751,77,10:29:11
37752,78,10:29:12
37753,80,10:29:13
37754,81,10:29:14
37755,82,10:29:15
37756,83,10:29:16
37757,84,10:29:17
37758,87,10:29:18
37759,89,10:29:19
37760,91,10:29:20
37761,93,10:29:21
37762,87,10:29:22
37763,87,10:29:23
37764,87,10:29:24
37765,88,10:29:25
37766,88,10:29:26
37767,88,10:29:27
37768,87,10:29:28
37769,81,10:29:29
37770,79,10:29:30
37771,78,10:29:31
37772,79,10:29:32
37773,81,10:29:33
37774,83,10:29:34
37775,86,10:29:35
37776,87,10:29:36
37777,88,10:29:37
37778,90,10:29:38
37779,91,10:29:39
37780,91,10:29:40
37781,91,10:29:41
37782,91,10:29:42
37783,90,10:29:43
37784,90,10:29:44
37785,90,10:29:45
37786,90,10:29:46
37787,90,10:29:47
37788,90,10:29:48
37789,88,10:29:49
37790,81,10:29:50
37791,80,10:29:51
37792,80,10:29:52
37793,80,10:29:53
37794,82,10:29:54
37795,86,10:29:55
37796,89,10:29:56
37797,93,10:29:57
37798,94,10:29:58
37799,94,10:29:59
37800,93,10:30:00
37801,93,10:30:01
37802,92,10:30:02
37803,93,10:30:03
37804,96,10:30:04
37805,95,10:30:05
37806,91,10:30:06
37807,91,10:30:07
37808,91,10:30:08
37809,91,10:30:09
37810,91,10:30:10
37811,92,10:30:11
37812,92,10:30:12
37813,90,10:30:13
37814,90,10:30:14
37815,93,10:30:15
37816,93,10:30:16
37817,95,10:30:17
37818,94,10:30:18
37819,94,10:30:19
37820,93,10:30:20
37821,93,10:30:21
37822,93,10:30:22
37823,93,10:30:23
37824,93,10:30:24
37825,92,10:30:25
37826,92,10:30:26
37827,92,10:30:27
37828,92,10:30:28
37829,92,10:30:29
37830,92,10:30:30
37831,92,10:30:31
37832,92,10:30:32
37833,92,10:30:33
37834,93,10:30:34
37835,93,10:30:35
37836,94,10:30:36
37837,94,10:30:37
37838,94,10:30:38
37839,93,10:30:39
37840,93,10:30:40
37841,92,10:30:41
37842,91,10:30:42
37843,90,10:30:43
37844,91,10:30:44
37845,90,10:30:45
37846,89,10:30:46
37847,89,10:30:47
37848,89,10:30:48
37849,88,10:30:49
37850,87,10:30:50
37851,85,10:30:51
37852,86,10:30:52
37853,86,10:30:53
37854,86,10:30:54
37855,86,10:30:55
37856,87,10:30:56
37857,87,10:30:57
37858,88,10:30:58
37859,89,10:30:59
37860,90,10:31:00
37861,90,10:31:01
37862,89,10:31:02
37863,89,10:31:03
37864,88,10:31:04
37865,86,10:31:05
37866,85,10:31:06
37867,85,10:31:07
37868,82,10:31:08
37869,82,10:31:09
37870,82,10:31:10
37871,81,10:31:11
37872,82,10:31:12
37873,83,10:31:13
37874,86,10:31:14
37875,86,10:31:15
37876,87,10:31:16
37877,86,10:31:17
37878,84,10:31:18
37879,82,10:31:19
37880,82,10:31:20
37881,81,10:31:21
37882,80,10:31:22
37883,82,10:31:23
37884,84,10:31:24
37885,87,10:31:25
37886,87,10:31:26
37887,87,10:31:27
37888,89,10:31:28
37889,89,10:31:29
37890,93,10:31:30
